,Title,Published_date,Views,Likes,Comments,Month
0,"Full $10,000/Month Guide in 2023 (5 Income Sources To Make $10,000/Month Fast)",2023-03-31,336128,26200,2209,Mar
1,4 Life Lessons My Father Taught Me,2023-03-28,131569,8635,773,Mar
2,Full Monk Mode Guide: 4 Steps To Fix Your Life,2023-03-24,395144,25176,1836,Mar
3,You Don’t Need Experience With Women.,2023-03-22,329895,20854,2073,Mar
4,Full Anxious Attachment Style Guide: How To Heal,2023-03-20,263686,14654,1767,Mar
5,Why it's so Hard to Sit Down and Study/Work,2023-03-14,373889,23017,1709,Mar
6,INCREASE TESTOSTERONE Naturally (440ng/dl to over 1000ng/dl),2023-03-11,706221,44786,5869,Mar
7,Reject Degeneracy & Embrace God.,2023-03-08,519571,37803,6217,Mar
8,The mistake I made at 1 million subs (It's going to happen to you too),2023-03-04,361952,21619,1823,Mar
9,How to love a woman.,2023-02-20,556266,29777,2113,Feb
10,How ‘purpose’ works.,2023-02-07,594540,36276,2642,Feb
11,Our Last Jeffery & Adonis Video (10 WAYS TO NEVER GET NERVOUS AROUND GIRLS),2023-02-02,750008,53494,3609,Feb
12,I’ve fulfilled my purpose.,2023-02-01,1092638,101077,10253,Feb
13,How To Stay Mysterious (Make Her CHASE You),2023-01-26,721341,50549,2599,Jan
14,How To BECOME A High Value Man | Boosting Your SMV,2023-01-25,395877,27681,1185,Jan
15,4 Signs of LOW Testosterone,2023-01-23,470148,30167,2031,Jan
16,How To Get Over Your Past Mistakes,2023-01-22,285617,21534,853,Jan
17,How To Change Your BAD Habits (Easy Method),2023-01-21,361772,30033,1420,Jan
18,Are You Attractive To Women? (The TRUTH About Attraction),2023-01-20,471375,31887,1304,Jan
19,Why You Don’t Feel Motivated,2023-01-19,372076,30413,1585,Jan
20,Life Is Too Short To Be A Chump,2023-01-18,275370,20254,866,Jan
21,How A Masculine Man Thinks,2023-01-17,384370,29608,1347,Jan
22,My Brother Watches Hamza And It’s Scaring Me,2023-01-16,840994,68241,7579,Jan
23,Men Are Not Happy,2023-01-15,309284,23884,1256,Jan
24,The KEY To Becoming Mentally Tougher,2023-01-14,581133,49061,2370,Jan
25,How To Quit Any Addiction,2023-01-13,529243,39260,1621,Jan
26,5 Crucial Steps to Go From Skinny to Jacked,2023-01-11,858002,50031,1699,Jan
27,THIS is How To Make A Girl CHASE YOU | How to Get Out of the Friendzone,2023-01-10,420035,28523,995,Jan
28,How To Deal With Toxic People,2023-01-09,295383,24197,1083,Jan
29,People get triggered easily,2023-01-09,314888,28972,259,Jan
30,Reminder - Never Make Her Your Focus,2023-01-08,291813,23516,953,Jan
31,"If You Hate Women, You’ve Already Lost",2023-01-07,304266,24120,2117,Jan
32,3 INSTANT Ways To Start A Conversation With Girls,2023-01-06,556231,40115,1323,Jan
33,5 Habits You MUST Stop Doing Right Now,2023-01-05,485436,37045,1503,Jan
